ID,proportion
0648,9.894198042268013e-06
06F1,9.894198042268013e-06
07B5,9.894198042268013e-06
06B6,9.894198042268013e-06
075A,9.894198042268013e-06
02FD,9.894198042268013e-06
0449,9.894198042268013e-06
0233,9.894198042268013e-06
0042,9.894198042268013e-06
0356,9.894198042268013e-06
06C0,9.894198042268013e-06
02E2,9.894198042268013e-06
023E,9.894198042268013e-06
0027,9.894198042268013e-06
0246,9.894198042268013e-06
005E,9.894198042268013e-06
016C,9.894198042268013e-06
024A,9.894198042268013e-06
04A5,9.894198042268013e-06
0133,9.894198042268013e-06
0511,9.894198042268013e-06
03D8,9.894198042268013e-06
069C,9.894198042268013e-06
029E,9.894198042268013e-06
04C0,9.894198042268013e-06
076D,9.894198042268013e-06
0195,9.894198042268013e-06
01A5,9.894198042268013e-06
01D9,9.894198042268013e-06
03CE,9.894198042268013e-06
0281,9.894198042268013e-06
028A,9.894198042268013e-06
00C2,9.894198042268013e-06
07ED,9.894198042268013e-06
05DF,9.894198042268013e-06
01F6,9.894198042268013e-06
042F,9.894198042268013e-06
078E,9.894198042268013e-06
02F3,9.894198042268013e-06
037B,9.894198042268013e-06
03FF,9.894198042268013e-06
019E,9.894198042268013e-06
033A,9.894198042268013e-06
076B,9.894198042268013e-06
0521,9.894198042268013e-06
0343,9.894198042268013e-06
04E3,9.894198042268013e-06
0381,9.894198042268013e-06
0733,9.894198042268013e-06
04FC,9.894198042268013e-06
054C,9.894198042268013e-06
00B8,9.894198042268013e-06
04C4,9.894198042268013e-06
074D,9.894198042268013e-06
03BA,9.894198042268013e-06
05CA,9.894198042268013e-06
0766,9.894198042268013e-06
0791,9.894198042268013e-06
0608,9.894198042268013e-06
00CE,9.894198042268013e-06
007A,9.894198042268013e-06
02A5,9.894198042268013e-06
06EE,9.894198042268013e-06
0332,9.894198042268013e-06
01F1,9.894198042268013e-06
06B8,9.894198042268013e-06
04C1,9.894198042268013e-06
0497,9.894198042268013e-06
027C,9.894198042268013e-06
06E5,9.894198042268013e-06
0584,9.894198042268013e-06
066D,9.894198042268013e-06
05BC,9.894198042268013e-06
01F0,9.894198042268013e-06
062D,9.894198042268013e-06
0268,9.894198042268013e-06
04FE,9.894198042268013e-06
02B8,9.894198042268013e-06
0043,9.894198042268013e-06
057D,9.894198042268013e-06
03EB,9.894198042268013e-06
0157,9.894198042268013e-06
02BE,9.894198042268013e-06
0054,9.894198042268013e-06
0548,9.894198042268013e-06
0293,9.894198042268013e-06
040C,9.894198042268013e-06
0236,9.894198042268013e-06
020F,9.894198042268013e-06
0082,8.245165035223345e-06
02AF,8.245165035223345e-06
0480,8.245165035223345e-06
07CD,8.245165035223345e-06
0216,8.245165035223345e-06
003E,8.245165035223345e-06
01C8,8.245165035223345e-06
077B,8.245165035223345e-06
007C,8.245165035223345e-06
0634,8.245165035223345e-06
0371,8.245165035223345e-06
0478,8.245165035223345e-06
050B,8.245165035223345e-06
07DD,8.245165035223345e-06
071E,8.245165035223345e-06
02C1,8.245165035223345e-06
006D,8.245165035223345e-06
0629,8.245165035223345e-06
06BA,8.245165035223345e-06
0795,8.245165035223345e-06
074C,8.245165035223345e-06
0028,8.245165035223345e-06
057A,8.245165035223345e-06
05F4,8.245165035223345e-06
0326,8.245165035223345e-06
0384,8.245165035223345e-06
0753,8.245165035223345e-06
0632,8.245165035223345e-06
03DC,8.245165035223345e-06
039A,8.245165035223345e-06
0659,8.245165035223345e-06
07EF,8.245165035223345e-06
078A,8.245165035223345e-06
0093,8.245165035223345e-06
05BD,8.245165035223345e-06
031F,8.245165035223345e-06
0062,8.245165035223345e-06
0346,8.245165035223345e-06
0137,8.245165035223345e-06
0292,8.245165035223345e-06
07CB,8.245165035223345e-06
0553,8.245165035223345e-06
